state_code,state,county,value,population,fips,measure_id
AR,Arkansas,Conway,33.9,20873,05029,ARTHRITIS
AR,Arkansas,Jackson,40.1,16811,05067,OBESITY
AR,Arkansas,Ashley,25.4,18674,05003,DEPRESSION
AR,Arkansas,Ashley,5,18674,05003,STROKE
CA,California,Stanislaus,34.7,552999,06099,OBESITY
AR,Arkansas,Bradley,15.8,10408,05011,DIABETES
AR,Arkansas,Monroe,36.9,6683,05095,ARTHRITIS
US,United States,,6.1,331893745,00059,CHD
AL,Alabama,Dallas,5.5,37619,01047,STROKE
AR,Arkansas,Miller,37,42649,05091,DISABILITY
AL,Alabama,Coffee,39.7,54174,01031,OBESITY
AK,Alaska,Northwest Arctic,4.3,7560,02188,STROKE
US,United States,,3.3,331893745,00059,STROKE
AR,Arkansas,Lincoln,12.7,13037,05079,DIABETES
AL,Alabama,Greene,7.4,7629,01063,STROKE
CO,Colorado,Custer,24.6,5045,08027,OBESITY
GA,Georgia,Floyd,3.8,98771,13115,STROKE
CT,Connecticut,Windham,3.1,116418,09015,STROKE
GA,Georgia,Walker,30.9,68510,13295,ARTHRITIS
GA,Georgia,Coffee,4.1,43386,13069,STROKE
GA,Georgia,Richmond,26.6,205673,13245,ARTHRITIS
GA,Georgia,Heard,4.1,11565,13149,STROKE
GA,Georgia,Crisp,5.1,19879,13081,STROKE
GA,Georgia,Muscogee,40.3,205617,13215,OBESITY
CA,California,Yolo,10.6,216986,06113,MOBILITY
GA,Georgia,Franklin,37.3,23785,13119,OBESITY
CT,Connecticut,New Haven,3.1,863700,09009,STROKE
CO,Colorado,Custer,4.2,5045,08027,VISION
GA,Georgia,Dooly,8.8,10885,13093,VISION
CO,Colorado,La Plata,21.6,56250,08067,OBESITY
CO,Colorado,Mesa,28.6,157335,08077,OBESITY
GA,Georgia,Stephens,10.1,26865,13257,CASTHMA
CO,Colorado,Gunnison,23.2,17281,08051,OBESITY
GA,Georgia,Jenkins,21.3,8639,13165,DEPRESSION
CO,Colorado,Park,10,17720,08093,CASTHMA
GA,Georgia,Harris,27.7,35626,13145,DISABILITY
GA,Georgia,Carroll,6.5,121968,13045,HEARING
IL,Illinois,Putnam,3.6,5566,17155,STROKE
HI,Hawaii,Kalawao,31.5,82,15005,OBESITY
IL,Illinois,Menard,3.3,12164,17129,STROKE
ID,Idaho,Ada,28.8,511931,16001,OBESITY
ID,Idaho,Oneida,31.3,4611,16071,OBESITY
ID,Idaho,Lewis,33.4,3715,16061,OBESITY
ID,Idaho,Adams,4.4,4625,16003,STROKE
IN,Indiana,Jay,3.9,20248,18075,STROKE
GA,Georgia,White,3.7,28442,13311,STROKE
IL,Illinois,De Witt,9.4,15341,17039,HEARING
IL,Illinois,Union,4,16923,17181,STROKE
ID,Idaho,Caribou,3.2,7111,16029,STROKE
IN,Indiana,Brown,36,15552,18013,OBESITY
IL,Illinois,LaSalle,9.8,108965,17099,CASTHMA
IL,Illinois,Washington,3.4,13655,17189,STROKE
IL,Illinois,Jefferson,3.7,36877,17081,STROKE
ID,Idaho,Butte,34.2,2654,16023,OBESITY
ID,Idaho,Minidoka,37.2,21955,16067,OBESITY
IL,Illinois,Stephenson,38,44021,17177,OBESITY
HI,Hawaii,Kalawao,40.3,82,15005,BPHIGH
IL,Illinois,DuPage,30.5,924885,17043,OBESITY
